,estimate,estimate,estimate,estimate,estimate,estimate,stddev,stddev,stddev,stddev,stddev,stddev
indicator,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Rule of Law,Regulatory Quality,Voice and Accountability,Control of Corruption,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Rule of Law,Regulatory Quality,Voice and Accountability
CRI,0.46585777401924133,0.05260266736149788,0.9565964341163635,0.43593278527259827,0.567061722278595,1.073407769203186,0.16605088114738464,0.26320964097976685,0.23304978013038635,0.16934913396835327,0.22554519772529602,0.12799356877803802
CUB,-0.06926567852497101,-0.3509061336517334,0.491417795419693,-0.46144968271255493,-1.3818594217300415,-1.3393124341964722,0.2055220901966095,0.29617956280708313,0.23976460099220276,0.19561667740345,0.2519288957118988,0.1361328512430191
CYM,0.4577004313468933,1.2623109817504883,1.6607418060302734,0.7210703492164612,1.0855724811553955,0.755772590637207,0.3173750340938568,0.3615066707134247,0.26986953616142273,0.21443796157836914,0.36323583126068115,0.22540795803070068
CYP,0.42144522070884705,0.7303352355957031,0.4238112270832062,0.5701257586479187,0.773753821849823,0.8503503799438477,0.16299408674240112,0.23824253678321838,0.22655731439590454,0.16459915041923523,0.2341291755437851,0.10955864936113358
CZE,0.6630745530128479,1.093418836593628,0.8141145706176758,1.1003965139389038,1.3858983516693115,1.0411412715911865,0.14452265202999115,0.2253308743238449,0.22655731439590454,0.14843900501728058,0.2129831314086914,0.10261274129152298
DEU,1.8183634281158447,1.2892996072769165,0.6284918785095215,1.531995177268982,1.5222949981689453,1.4144870042800903,0.16299408674240112,0.23824253678321838,0.22655731439590454,0.16459915041923523,0.2341291755437851,0.10903464257717133
DJI,-0.7932665944099426,-0.7868021130561829,-0.5073860883712769,-1.1026407480239868,-0.8997994065284729,-1.2912232875823975,0.1893632709980011,0.2260058969259262,0.24822673201560974,0.163450226187706,0.19287444651126862,0.13066847622394562
DMA,0.5395861864089966,-0.09732352197170258,1.308010458946228,0.7341804504394531,0.3415094316005707,0.7967692613601685,0.24669519066810608,0.4157201051712036,0.2674945294857025,0.2774648666381836,0.28809139132499695,0.23487763106822968
DNK,2.4026381969451904,1.9901350736618042,0.86891770362854,1.8995805978775024,1.8431274890899658,1.5912543535232544,0.16299408674240112,0.23824253678321838,0.22655731439590454,0.16459915041923523,0.2341291755437851,0.10955864936113358
DOM,-0.4398077726364136,-0.06846106052398682,0.24928763508796692,-0.09335335344076157,0.06954778730869293,0.3131171464920044,0.16605088114738464,0.26320964097976685,0.23304978013038635,0.16934913396835327,0.22554519772529602,0.12799356877803802
DZA,-0.638041079044342,-0.5134994983673096,-0.6506523489952087,-0.8332599997520447,-1.0635732412338257,-1.0119189023971558,0.17698653042316437,0.24873486161231995,0.23304978013038635,0.1727554351091385,0.22833454608917236,0.12115327268838882
ECU,-0.6302648782730103,-0.30927833914756775,-0.3712243139743805,-0.6207808256149292,-0.45972153544425964,0.02739471010863781,0.16605088114738464,0.26320964097976685,0.23304978013038635,0.16934913396835327,0.22554519772529602,0.12799356877803802
EGY,-0.6789621710777283,-0.4482313096523285,-0.978700578212738,-0.26560452580451965,-0.7139208316802979,-1.4504499435424805,0.16264769434928894,0.229648157954216,0.23304978013038635,0.16547590494155884,0.20897077023983002,0.12066485732793808
ERI,-1.2822462320327759,-1.7312976121902466,-0.9571950435638428,-1.7730594873428345,-2.3693926334381104,-1.8829278945922852,0.1893632709980011,0.2260058969259262,0.24822673201560974,0.163450226187706,0.19287444651126862,0.13066847622394562
ESP,0.6854161620140076,0.9202303886413574,0.31884342432022095,0.7991676926612854,0.7970744371414185,1.0168356895446777,0.16299408674240112,0.23824253678321838,0.22655731439590454,0.16459915041923523,0.2341291755437851,0.10903464257717133
EST,1.544712781906128,1.3426321744918823,0.7278808951377869,1.4262839555740356,1.558964490890503,1.2019542455673218,0.14452265202999115,0.2253308743238449,0.22655731439590454,0.14843900501728058,0.2129831314086914,0.1030491515994072
ETH,-0.43325895071029663,-0.7918241620063782,-2.070606231689453,-0.6358940601348877,-0.9484174251556396,-1.048414945602417,0.15349891781806946,0.21459345519542694,0.23304978013038635,0.1506255567073822,0.17477242648601532,0.12066485732793808
FIN,2.2468650341033936,1.754582405090332,0.8948301076889038,1.957899808883667,1.7791528701782227,1.6067698001861572,0.16299408674240112,0.23824253678321838,0.22655731439590454,0.16459915041923523,0.2341291755437851,0.10955864936113358
FJI,0.38887208700180054,0.5939593315124512,0.748508632183075,0.32531625032424927,-0.060217201709747314,-0.14395278692245483,0.29084861278533936,0.40115660429000854,0.25569990277290344,0.3232766389846802,0.30890029668807983,0.20344708859920502
FRA,1.2594361305236816,1.1652121543884277,0.39333921670913696,1.1805833578109741,1.1889523267745972,1.110156774520874,0.16299408674240112,0.23824253678321838,0.22655731439590454,0.16459915041923523,0.2341291755437851,0.10903464257717133
FSM,0.483295738697052,0.3798752725124359,1.2092188596725464,0.6896539926528931,-0.5612719058990479,1.125030755996704,0.3317870795726776,0.40115660429000854,0.25569990277290344,0.3392469882965088,0.30890029668807983,0.2547052800655365
GAB,-1.0429766178131104,-0.6854241490364075,0.060369402170181274,-0.8237568736076355,-0.7022572159767151,-0.8801739811897278,0.17274028062820435,0.24716471135616302,0.23304978013038635,0.17141620814800262,0.22833454608917236,0.12147650867700577
GBR,1.6201214790344238,1.2380900382995605,0.533176064491272,1.413798213005066,1.5665100812911987,1.2585411071777344,0.17280948162078857,0.2654722034931183,0.2140864133834839,0.1681758463382721,0.2341291755437851,0.13832688331604004
GEO,0.6204200387001038,0.6501430869102478,-0.43653005361557007,0.16946941614151,1.0323086977005005,0.01563982665538788,0.17183542251586914,0.2850892245769501,0.24079777300357819,0.16052699089050293,0.2409442514181137,0.12805315852165222
GHA,-0.0643710345029831,-0.10642126947641373,-0.1950247883796692,-0.07954733818769455,-0.1788187026977539,0.40015313029289246,0.14755292236804962,0.20399898290634155,0.23304978013038635,0.14628832042217255,0.1735120415687561,0.12050865590572357
GIN,-0.971789538860321,-0.9142158627510071,-0.8386821150779724,-1.0977193117141724,-1.0501046180725098,-1.0831620693206787,0.15186360478401184,0.21358272433280945,0.23304978013038635,0.14973540604114532,0.17477242648601532,0.12121723592281342
GMB,-0.27554771304130554,-0.6535725593566895,0.04397328197956085,-0.4551207721233368,-0.7145701050758362,-0.04075588285923004,0.15186360478401184,0.21358272433280945,0.23304978013038635,0.14973540604114532,0.17477242648601532,0.12050865590572357
GNB,-1.1854556798934937,-1.4869327545166016,-0.3859448730945587,-1.45402991771698,-1.3214889764785767,-0.4171984791755676,0.18644380569458008,0.23600447177886963,0.2660803496837616,0.21351304650306702,0.19537533819675446,0.1515875905752182
